section,day,subject,start_time,end_time,room,professor
G2,Thu,SWAYAM/NPTEL,08:30,10:30,,
G2,Thu,BEE,10:30,11:30,CF-07,VR
G2,Thu,CSK,11:30,12:30,CF-07,RC
G2,Thu,BME,13:30,14:30,CF-06,DP
G1,Fri,G2LG LAB,08:30,10:30,CS-23,RC
G1,Fri,PH,09:30,10:30,CF-14,SG
G1,Fri,PH LAB,10:30,12:30,CF-11,SB
G1,Fri,EE LAB,10:30,12:30,BLG-17,VR
G1,Fri,M,13:30,14:30,CF-06,MNM
G1,Fri,Sports-I,14:30,15:30,,
G2,Fri,G2LG LAB,08:30,10:30,CS-23,RC
G2,Fri,PH,09:30,10:30,CF-14,SG
G2,Fri,PH LAB,10:30,12:30,CF-11,SB
G2,Fri,EE LAB,10:30,12:30,BLG-17,VR
G2,Fri,M,13:30,14:30,CF-06,MNM
G2,Fri,Sports-I,14:30,15:30,,
G1,Sat,M,08:30,09:30,CF-03,MNM
G1,Sat,EE LAB,10:30,12:30,BLG-17,VR
G1,Sat,CSK,11:30,12:30,CF-07,RC
G1,Sat,PH LAB,10:30,12:30,CF-10,SB
G2,Sat,M,08:30,09:30,CF-03,MNM
G2,Sat,EE LAB,10:30,12:30,BLG-17,VR
G2,Sat,CSK,11:30,12:30,CF-07,RC
G2,Sat,PH LAB,10:30,12:30,CF-10,SB
H1,Mon,SWAYAM/NPTEL,08:30,10:30,,
H1,Mon,CSK,10:30,11:30,CF-14,SHB
H1,Mon,M,11:30,12:30,CF-14,GT
H1,Mon,PH,13:30,14:30,CG-09,GKD
H2,Mon,LG LAB,08:30,10:30,CS-23,RC
H2,Mon,CSK,10:30,11:30,CF-14,SHB
H2,Mon,M,11:30,12:30,CF-14,GT
H2,Mon,PH,13:30,14:30,CG-09,GKD
H1,Tue,LG LAB,08:30,10:30,CS-23,RC
H1,Tue,M,10:30,11:30,CF-06,GT
H1,Tue,PH,11:30,12:30,CF-06,SKD
H1,Tue,CSK,13:30,14:30,CF-13,SHB
H2,Tue,SWAYAM/NPTEL,08:30,10:30,,
H2,Tue,M,10:30,11:30,CF-06,GT
H2,Tue,PH,11:30,12:30,CF-06,SKD
H2,Tue,CSK,13:30,14:30,CF-13,SHB
H1,Wed,BME,09:30,10:30,CF-13,AP
H1,Wed,Sports-I,10:30,11:30,,
H1,Wed,M,11:30,12:30,CG-08,GT
H1,Wed,MPWS,14:30,15:30,DG-06,FS
H2,Wed,BME,09:30,10:30,CF-13,AP
H2,Wed,Sports-I,10:30,11:30,,
H2,Wed,M,11:30,12:30,CG-08,GT
H2,Wed,MPWS,14:30,15:30,DG-06,FS
H1,Thu,PH,08:30,09:30,CF-13,NS
H1,Thu,BEE,09:30,10:30,CF-13,V Sh
H1,Thu,CAMD,13:30,14:30,CF-13,AP
H1,Thu,CAMD,14:30,15:30,CF-01,AP
H2,Thu,PH,08:30,09:30,CF-13,NS
H2,Thu,BEE,09:30,10:30,CF-13,V Sh
H2,Thu,CAMD,13:30,14:30,CF-13,AP
H2,Thu,MPWS,13:30,14:30,DG-06,BB
H2,Thu,CAMD,14:30,15:30,CF-01,AP
H2,Thu,MPWS,14:30,15:30,DG-06,BB
H1,Fri,PH LAB,08:30,10:30,CF-10,MP
H1,Fri,EE LAB,08:30,10:30,BLG-17,V Sh
H1,Fri,BME,11:30,12:30,CS-05,AP
H1,Fri,BEE,13:30,14:30,CF-13,V Sh
H2,Fri,PH LAB,08:30,10:30,CF-10,MP
H2,Fri,EE LAB,08:30,10:30,BLG-17,V Sh
H2,Fri,BME,11:30,12:30,CS-05,AP
H2,Fri,BEE,13:30,14:30,CF-13,V Sh
H1,Sat,EE LAB,08:30,10:30,BLG-17,V Sh
H1,Sat,PH LAB,08:30,10:30,CF-11,SB
H1,Sat,M,11:30,12:30,CG-09,GT
H1,Sat,PH,13:30,14:30,CF-13,NS
H2,Sat,EE LAB,08:30,10:30,BLG-17,V Sh
H2,Sat,PH LAB,08:30,10:30,CF-11,SB
H2,Sat,M,11:30,12:30,CG-09,GT
H2,Sat,PH,13:30,14:30,CF-13,NS
I1,Mon,M,09:30,10:30,CS-05,MNM
I1,Mon,BEE,10:30,11:30,CS-05,V Sh
I1,Mon,Sports-I,11:30,12:30,,
I1,Mon,PH LAB,13:30,15:30,CF-11,PKS
I1,Mon,EE LAB,13:30,15:30,BLG-18,V Sh
I2,Mon,M,09:30,10:30,CS-05,MNM
I2,Mon,BEE,10:30,11:30,CS-05,V Sh
I2,Mon,Sports-I,11:30,12:30,,
I2,Mon,PH LAB,13:30,15:30,CF-11,PKS
I2,Mon,EE LAB,13:30,15:30,BLG-18,V Sh
I1,Tue,BME,08:30,09:30,CF-13,YS
I1,Tue,M,09:30,10:30,CF-13,MNM
I1,Tue,EE LAB,13:30,15:30,BLG-18,V Sh
I1,Tue,PH LAB,13:30,15:30,CF-11,SB
I2,Tue,BME,08:30,09:30,CF-13,YS
I2,Tue,M,09:30,10:30,CF-13,MNM
I2,Tue,EE LAB,13:30,15:30,BLG-18,V Sh
I2,Tue,PH LAB,13:30,15:30,CF-11,SB
I1,Wed,CSK,08:30,09:30,CF-14,SK
I1,Wed,PH,09:30,10:30,CF-14,PKS
I1,Wed,SWAYAM/NPTEL,10:30,11:30,,
I1,Wed,LG LAB,10:30,11:30,CS-23,SK
I1,Wed,BEE,13:30,14:30,CG-08,V Sh
I2,Wed,CSK,08:30,09:30,CF-14,SK
I2,Wed,PH,09:30,10:30,CF-14,PKS
I2,Wed,SWAYAM/NPTEL,10:30,11:30,,
I2,Wed,LG LAB,10:30,11:30,CS-23,SK
I2,Wed,BEE,13:30,14:30,CG-08,V Sh
I1,Thu,M,08:30,09:30,CF-14,MNM
I1,Thu,CSK,09:30,10:30,CF-13,SK
I1,Thu,LG LAB,10:30,12:30,CS-23,DS
I1,Thu,SWAYAM/NPTEL,11:30,12:30,,
I1,Thu,PH,13:30,14:30,CF-07,PKS
I2,Thu,M,08:30,09:30,CF-14,MNM
I2,Thu,CSK,09:30,10:30,CF-13,SK
I2,Thu,LG LAB,10:30,12:30,CS-23,DS
I2,Thu,SWAYAM/NPTEL,11:30,12:30,,
I2,Thu,PH,13:30,14:30,CF-07,PKS
I1,Fri,BME,09:30,10:30,CS-05,YS
I1,Fri,PH,10:30,11:30,CS-05,MP
I1,Fri,CAMD,12:30,13:30,CF-03,VS
